"","year","h_snow","return_time"
"1",1960,9,1.701714818241
"2",1961,0,1
"3",1962,0,1
"4",1963,18,4.25694548359414
"5",1964,0,1
"6",1965,0,1
"7",1966,5,1.27718329419458
"8",1967,0,1
"9",1968,19,4.90556563397493
"10",1969,0,1
"11",1970,0,1
"12",1971,0,1
"13",1972,0,1
"14",1973,19,4.90556563397493
"15",1974,0,1
"16",1975,0,1
"17",1976,3,1.1250551352053
"18",1977,0,1
"19",1978,0,1
"20",1979,4,1.19725985299825
"21",1980,0,1
"22",1981,0,1
"23",1982,0,1
"24",1983,0,1
"25",1984,0,1
"26",1985,21,6.79673022081744
"27",1986,2,1.05957967273928
"28",1987,12,2.19221901550863
"29",1988,0,1
"30",1989,0,1
"31",1990,0,1
"32",1991,5,1.27718329419458
"33",1992,0,1
"34",1993,0,1
"35",1994,0,1
"36",1995,0,1
"37",1996,0,1
"38",1997,0,1
"39",1998,0,1
"40",1999,0,1
"41",2000,0,1
"42",2001,0,1
"43",2002,0,1
"44",2003,0,1
"45",2004,0,1
"46",2005,12,2.19221901550863
"47",2006,0,1
"48",2007,0,1
"49",2008,0,1
"50",2009,5,1.27718329419458
"51",2010,28,72.1013255788898
